timestamp,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-06-11 10:40:00,6.6,6.63,6.62,6.6,75.0,0.02,0.3,6.622,6.63,6.6445,303.4,303.5,518.19,0.0
2018-06-11 10:45:00,6.62,6.62,6.61,6.61,102.0,-0.01,-0.15,6.614,6.629,6.6405,246.8,293.9,509.12,0.0
2018-06-11 10:50:00,6.61,6.62,6.62,6.6,251.0,0.01,0.15,6.612,6.628,6.638,234.2,232.2,513.27,0.01
2018-06-11 10:55:00,6.62,6.62,6.61,6.6,112.0,-0.01,-0.15,6.612,6.624,6.6345,202.4,217.6,500.47,0.0
2018-06-11 11:00:00,6.61,6.66,6.66,6.6,372.0,0.05,0.76,6.624,6.626,6.634,182.4,242.1,430.02,0.01
2018-06-11 11:05:00,6.66,6.66,6.63,6.62,538.0,-0.03,-0.45,6.626,6.624,6.6295,275.0,289.2,405.66,0.02
2018-06-11 11:10:00,6.63,6.66,6.66,6.63,207.0,0.03,0.45,6.636,6.625,6.6265,296.0,271.4,405.31,0.01
2018-06-11 11:15:00,6.64,6.65,6.65,6.63,60.0,0.01,0.15,6.642,6.627,6.627,257.8,246.0,370.31,0.0
2018-06-11 11:20:00,6.65,6.65,6.64,6.64,41.0,-0.01,-0.15,6.648,6.63,6.628,243.6,223.0,292.51,0.0
2018-06-11 11:25:00,6.64,6.65,6.63,6.62,141.0,-0.01,-0.15,6.642,6.633,6.6305,197.4,189.9,264.35,0.0
2018-06-11 11:30:00,6.63,6.63,6.63,6.62,114.0,0.0,0.0,6.642,6.634,6.632,112.6,193.8,248.65,0.0
2018-06-11 13:05:00,6.63,6.63,6.62,6.61,247.0,-0.01,-0.15,6.634,6.635,6.632,120.6,208.3,251.1,0.01
2018-06-11 13:10:00,6.62,6.62,6.62,6.62,51.0,0.0,0.0,6.628,6.635,6.6315,118.8,188.3,210.25,0.0
2018-06-11 13:15:00,6.62,6.63,6.63,6.62,63.0,0.01,0.15,6.626,6.637,6.6305,123.2,183.4,200.5,0.0
2018-06-11 13:20:00,6.63,6.63,6.6,6.6,541.0,-0.03,-0.45,6.62,6.631,6.6285,203.2,200.3,221.2,0.02
2018-06-11 13:25:00,6.6,6.62,6.61,6.59,76.0,0.01,0.15,6.616,6.629,6.6265,195.6,154.1,221.65,0.0
2018-06-11 13:30:00,6.61,6.61,6.61,6.6,587.0,0.0,0.0,6.614,6.624,6.6245,263.6,192.1,231.75,0.02
2018-06-11 13:35:00,6.61,6.64,6.63,6.61,740.0,0.02,0.3,6.616,6.622,6.6245,401.4,260.1,253.05,0.03
2018-06-11 13:40:00,6.63,6.64,6.63,6.63,464.0,0.0,0.0,6.616,6.621,6.6255,481.6,302.4,262.7,0.02
2018-06-11 13:45:00,6.63,6.64,6.64,6.63,54.0,0.01,0.15,6.624,6.622,6.6275,384.2,293.7,241.8,0.0
